,id,compactness,area,length,n_nodes,is_outlier
0,335349738,0.948725148425786,1.1297654999703872e-08,0.00042627308768524135,5,1
1,351553862,0.7368633106969895,2.991134499982239e-08,0.0007431356637619019,5,1
2,487396702,0.9262565596187632,2.3524600000430603e-08,0.0006183970851478871,5,1
3,489085780,0.8898610460139732,1.675451000058085e-08,0.0005287569546981807,5,1
4,495958884,0.9447261182868456,1.1060420001473142e-08,0.000422002900384245,5,1
5,501827394,0.868447023140292,2.485325000079573e-08,0.0006481680698608987,5,1
6,506943036,0.502709303632274,4.830975000094919e-08,0.0010586537484286273,5,-1
7,506943218,0.9490807301001006,1.8075335000972343e-08,0.0005386608254168792,5,1
8,506951786,0.70351661114538,9.265849999812192e-09,0.0004200037040874397,5,1
9,506951788,0.7193436354817874,1.0607555000226644e-08,0.0004458122623359251,5,1
10,506951790,0.8223438775429879,1.3057199999434567e-08,0.0004774234322175061,5,1
11,506951792,0.9102140948234037,2.186409499939021e-08,0.0006042712809889071,5,1
12,508021784,0.9283895507958392,3.021007500005101e-08,0.0007002644445214736,5,1
13,508021786,0.8026701718245882,1.687270999977012e-08,0.0005437085170288739,5,1
14,508021788,0.7870928670006729,1.5385839999212152e-08,0.0005219577158509112,5,1
15,508180860,0.953890216166588,1.2538725001479918e-08,0.0004480345572919652,5,1
16,508898568,0.8148677360023782,1.5696154999556648e-08,0.0005222901163099596,5,1
17,510355978,0.8279639031329834,8.184120000404909e-09,0.0003754861002762313,5,1
18,510356376,0.9315799911985484,1.0295925001027012e-08,0.00040846814921084143,5,1
19,510356392,0.9519618225362622,1.3155404999482388e-08,0.0004593424558153385,5,1
20,510356564,0.9494994595932941,4.2314999999563664e-08,0.0008239999999943848,5,-1
21,510356568,0.499101666536717,1.7605190001258554e-08,0.0006406006526893753,5,-1
22,510356598,0.8064216325576313,1.1226140000008784e-08,0.00044291329386233515,5,1
23,510359196,0.8540622110041507,4.4609505000368464e-08,0.0008694764602761079,5,-1
24,510359244,0.9059359277993498,1.1553510000214362e-08,0.0004357245082749034,5,1
25,510359338,0.7411722886392729,1.1027860000464872e-08,0.00044933360629294256,5,1
26,510359342,0.8672660401550639,1.4264780000498575e-08,0.0004898766736667429,5,1
27,510359350,0.9498838639537154,1.5290485001008726e-08,0.0004953157716020805,5,1
28,511769892,0.9197209060274676,1.1397017499824466e-07,0.0014651729316795285,9,-1
29,511917008,0.9417203034654106,8.915175000047092e-09,0.0003803066663305863,5,1
30,511917010,0.8905611957134741,7.815505000880964e-09,0.0003630457792878718,5,1
31,514072296,0.9519381682241864,1.943758999939796e-08,0.0005584430510494117,5,1
32,521241786,0.8716732477796021,7.914589999256126e-09,0.0003644674912992882,5,1
33,521241788,0.8405462218231554,7.0663499998867095e-09,0.00034757535987917613,5,1
34,541527760,0.9441549934887302,2.4569804999972225e-08,0.0006415969696870628,8,-1
35,562992764,0.6644981232019399,1.8113665000510703e-08,0.0007400393334915246,9,1
36,564482414,0.8789471954800431,9.566969999689886e-09,0.00040330695159310285,5,1
37,564482418,0.8952654716832955,9.64497000063433e-09,0.00040319053865652855,5,1
38,564482420,0.8788289514413088,5.621354999587319e-09,0.00030823275604997585,5,1
39,564482424,0.9334081949159296,8.492400000034638e-09,0.00037284737069657016,5,1
40,564482426,0.9328214208149322,8.176209999866184e-09,0.00036598811402667903,5,1
41,564482430,0.9359348482997932,7.817314999622618e-09,0.00035656973626294736,5,1
42,564482434,0.9241365219145689,7.906579999640902e-09,0.0003616271903040488,5,1
43,564949954,0.9518773085847092,8.199585000429208e-09,0.00036011229596719736,9,-1
44,564949956,0.9618653539569588,7.713979999691156e-09,0.0003604562621042237,7,-1
45,564949960,0.936539563186492,9.397320000379204e-09,0.00039922137154295537,8,1
46,564949964,0.8728752438909557,8.312060000599874e-09,0.0003860957196036484,7,1
47,564949970,0.7350694344089109,7.949914999856862e-09,0.00040227056493816215,8,1
48,564949974,0.9624162576009178,8.593274999365042e-09,0.00036257736878994,6,-1
49,564949980,0.9480621623300649,9.405849999031363e-09,0.00041073644227359257,9,1
50,564951038,0.9386266617589588,9.067560000333416e-09,0.0003850689286776187,5,1
51,567104962,0.9386264148217032,7.447135000302256e-09,0.0003413555763920189,6,1
52,567104964,0.8297414000640141,8.146515000378294e-09,0.0004218673765405756,9,1
53,567115984,0.8898270019466962,1.3219335000250398e-08,0.00046864455087354415,5,1
54,567116844,0.9411609333302912,1.0273884999330258e-08,0.00040826372553536016,5,1
55,567116846,0.9019997313384641,1.1189629999015487e-08,0.0004324751791492816,5,1
56,567116848,0.9127220440084752,9.389279999613977e-09,0.00039431420644344236,5,1
57,572042646,0.44366782896142337,2.621380999920696e-08,0.000918234277691849,9,-1
58,577630144,0.8589490893991629,9.421485000150315e-09,0.0004151626794457397,7,1
59,577630696,0.8539508491625306,8.528599999649341e-09,0.0004071036297726138,7,1
60,577630698,0.8674292783308365,1.0003575000375518e-08,0.0004274000367084183,7,1
61,577630700,0.8755534968814705,1.0505935000088349e-08,0.00043131527220011335,6,1
62,577630702,0.9020144432738104,8.993174999426566e-09,0.0003866980716489987,5,1
63,577630704,0.947879798264614,1.0572085000007634e-08,0.0004042486497785375,6,1
64,580941080,0.7720286757576661,1.0684534999541424e-08,0.0004563400504569216,7,1
65,585733450,0.9383047420714486,5.7114875000293956e-08,0.0009637970395681127,5,-1
66,585733452,0.6764954124032775,1.9051674999314777e-08,0.0006088772362930111,5,1
67,585733454,0.6858878385548971,1.7715535000062805e-08,0.000584810380052091,5,1
68,585733456,0.924475322854,1.6799474999475637e-08,0.00052478225111706,5,1
