,id,compactness,area,length,n_nodes,is_outlier
0,64916046,0.2448232751061232,1.3355695500096716e-07,0.002288236872316468,6,1
1,81756276,0.6347591950243595,6.524502500120709e-08,0.0012868291481196387,9,1
2,82887892,0.5547140735753758,5.006588499983884e-08,0.0011816610730862776,9,1
3,82891132,0.5727741141853797,2.333743000035552e-08,0.0007060285919195943,5,1
4,83038952,0.5374641850602003,2.1004399999338463e-08,0.0006838824528299678,5,1
5,84795894,0.3679102152371224,1.4876406000049536e-07,0.0020686010321740267,5,1
6,84795896,0.32834425106387377,1.1856650000261767e-07,0.001925400000004629,5,1
7,92433980,0.3259564434907083,8.439540999853653e-08,0.001747603820202615,9,1
8,92433982,0.271410555418229,7.394477999913151e-08,0.0017879646910661773,9,1
9,107472066,0.8778851575676889,2.5620375249971763e-06,0.00667268356600711,11,-1
10,114040300,0.6331965276620236,4.1682919999075316e-08,0.0009154847407605962,5,1
11,114040302,0.6030891275436869,4.5324590000301046e-08,0.0009686891896100668,5,1
12,129976988,0.7146402599507442,2.293015550003517e-07,0.002718716529753149,60,-1
13,133122722,0.2574430842848846,6.186199500039494e-08,0.001656502348715677,13,1
14,133122742,0.4143539419685022,4.552851000084363e-08,0.0010987246149111818,5,1
15,133122750,0.2906136928852415,6.675610999805035e-08,0.0015146593933449378,5,1
16,133122752,0.29120627020233186,6.656704999831194e-08,0.0015095836473877635,5,1
17,133122792,0.2574913794367607,6.185092999940553e-08,0.0016564650852546124,13,1
18,133122804,0.290356655984232,6.669428000476228e-08,0.001514481429880277,5,1
19,133122812,0.2906136929009154,6.675610999805035e-08,0.0015146593933449378,5,1
20,133122822,0.29061369289278466,6.675611000022249e-08,0.001514659393364849,5,1
21,133122864,0.4143539420155065,4.5528510000140905e-08,0.0010987246149136195,5,1
22,133122870,0.4142703716367706,4.5495879999437247e-08,0.0010984138136863877,5,1
23,137211262,0.5286588131537641,6.577452500184271e-08,0.001353510248510457,7,1
24,137211272,0.3994064170355482,1.0427904000129947e-07,0.0018448893785340688,8,1
25,137211296,0.3250335974614145,7.838580499795597e-08,0.0015716901256892404,5,1
26,137211302,0.23589828720167536,9.072459999927043e-08,0.0019158526382381765,5,1
27,137211316,0.3788372302942185,1.324182599955265e-07,0.0022847229621458715,7,1
28,137211356,0.4187870583394179,8.894319499909346e-08,0.001825396199916916,7,1
29,137211374,0.4486804178727657,6.129603500118515e-08,0.0012385566392678292,5,1
30,137211380,0.3901805270611005,7.162389999944611e-08,0.0014054652675778373,5,1
31,137211394,0.33184890597595706,1.0357272499920039e-07,0.002015303848485002,7,1
32,137211424,0.275413437196648,1.0457645500020594e-07,0.0019333786898666008,5,1
33,137211428,0.22755923932479735,1.3672391499953705e-07,0.0025266675857170944,8,1
34,137211472,0.3767841707120943,1.0212244000190519e-07,0.001855598394142664,7,1
35,137211492,0.3548878958635231,8.50504000031475e-08,0.0017716479344410763,7,1
36,137211514,0.3753252706519353,6.856526000188347e-08,0.0013983184009420553,5,1
37,137211584,0.3901805270590867,7.162389999944611e-08,0.0014054652675778373,5,1
38,137211610,0.21103531987370727,1.649095000034997e-07,0.002909681639863953,7,-1
39,137211660,0.4486804178879895,6.129603500108211e-08,0.001238556639277678,5,1
40,137514118,0.4951101898596038,5.279278500105608e-08,0.001112170375793277,5,1
41,137514122,0.5792108975923533,4.36355499998695e-08,0.0009615667428234953,5,1
42,137514126,0.6022859799401172,4.1527179998583036e-08,0.000926796749655076,5,1
43,137514136,0.5607648347189346,4.5457880000318e-08,0.0009914368023298962,5,1
44,137514140,0.5118814311862038,5.0702054998724594e-08,0.0010781028580278801,5,1
45,137514144,0.3485719010888929,7.801580499561751e-08,0.001527727464892304,5,1
46,137514146,0.3729951986289738,7.246589000087851e-08,0.0014366366684983054,5,1
47,141716442,0.4106957645735741,4.339378500181997e-08,0.0010778515596065485,5,1
48,141905656,0.5120592478088647,7.792938499881557e-08,0.001337864504801442,5,1
49,141905658,0.6290207147766761,5.976769000004187e-08,0.001098262028650872,5,1
50,141905660,0.3288763307234619,1.0072262499793668e-07,0.0017782882555555308,5,1
51,141905662,0.33154105243682985,1.1488657000225027e-07,0.0018893758023036317,5,1
52,141905664,0.4535803423461165,6.519319500175254e-08,0.0012769163411572352,5,1
53,167788360,0.7413754984409571,7.260146000021107e-07,0.003743543491252636,16,-1
54,189331280,0.4960047850140687,7.053232999984508e-08,0.0012863606684452391,5,1
55,189331286,0.4960047849864857,7.053232999984508e-08,0.0012863606684452391,5,1
56,189331288,0.3955362282761936,9.654194999990574e-08,0.0016250241594612034,5,1
57,189331290,0.4960047849512513,7.053232999986889e-08,0.0012863606684581645,5,1
58,189331296,0.3957109249804643,9.657210000022636e-08,0.001625031295875756,5,1
59,189331474,0.23957610769353774,1.0461343999567274e-07,0.0020428201948631264,5,1
60,189331476,0.3303591911578765,8.522512499844821e-08,0.0016288273589579105,5,1
61,189331478,0.2393684350862614,1.0453133500009713e-07,0.002042729489062138,5,1
62,189331480,0.29338557952826955,9.553629999921168e-08,0.0018034844991796745,5,1
63,189677158,0.21714748576642492,1.2318848000005394e-07,0.002462140256788557,9,1
64,189677160,0.2691376874819633,9.614976000130196e-08,0.001870399999987171,5,1
65,189677166,0.3770646400750839,6.441391499834958e-08,0.0014675948012788293,9,1
66,189677170,0.20186156539619984,1.2220956000028622e-07,0.0023670000000066693,5,1
67,189677172,0.30981911725824673,1.0229897999817843e-07,0.0018277999999867234,5,1
68,189677182,0.31881592474317083,1.0687963500039248e-07,0.001853432019160352,5,1
69,189677184,0.37776783412039067,5.8494299998841633e-08,0.0012889533150866144,5,1
70,189677212,0.1968117178769937,1.230144400015789e-07,0.0023998000000062802,5,1
71,189677216,0.2436528027547749,1.2709032000114241e-07,0.0022364000000010265,5,1
72,189677230,0.3672144247938326,8.141880000091761e-08,0.0015361493861251179,5,1
73,189680874,0.3678927618523577,6.261140000111578e-08,0.001342029607995783,5,1
74,189680876,0.39802043684815824,6.930718500022966e-08,0.0013728726947828927,5,1
75,189680878,0.44220090002208573,7.556135499992426e-08,0.0013819954313851873,5,1
76,189680880,0.4516220141250042,4.095012000081166e-08,0.001010111671714047,5,1
77,189680882,0.4279331479031049,7.73045399973328e-08,0.0014136832711833113,5,1
78,189680884,0.7630284743073462,3.841449500062378e-08,0.0009180520858599377,8,1
79,189680888,0.7630429256489349,3.842088500004695e-08,0.000918148079624518,8,1
80,189680892,0.3831737374630579,6.743433000005016e-08,0.0013725722783835491,5,1
81,189680894,0.4845878513251735,5.7360690000559485e-08,0.0011676203970743375,5,1
82,189680896,0.4465967288866407,7.072612500000218e-08,0.0013325334689196144,5,1
83,189681722,0.8358109849362175,6.384815499850392e-08,0.0011570342984029624,9,1
84,189681726,0.8397898909062509,6.459537500149045e-08,0.0011569294179237565,10,1
85,189681734,0.5345978918007299,7.80785900003545e-08,0.0015087062326315595,9,1
86,189681738,0.5554409734230393,4.176951000007807e-08,0.0009567566783341344,5,1
87,189681746,0.8357515057197141,6.383977000031133e-08,0.0011569282079119962,9,1
88,189681752,0.5244758522347037,4.474118999886288e-08,0.001004800000004025,5,1
89,189681762,0.3934181506590395,5.4832369999496415e-08,0.0012261362089487234,5,1
90,189681764,0.4758321468368961,6.568372999924457e-08,0.0012570098392807837,5,1
91,189681790,0.4606457764565492,5.8032705000765826e-08,0.001194453349508196,5,1
92,189681796,0.5931323291191133,5.322596999946159e-08,0.001054213489621232,5,1
93,189681802,0.5993107834300931,4.530246000009789e-08,0.0009731936022360787,5,1
94,189684644,0.629069270603431,6.334681500018699e-08,0.0015226288746957445,13,1
95,189684646,0.6291084923046517,6.333936499979009e-08,0.0015224485483054495,13,1
96,189684648,0.4558262756123735,5.5067569999407265e-08,0.0011714019049096401,5,1
97,189684650,0.4039563352837184,7.142307000027888e-08,0.001386400000001231,5,1
98,189684652,0.4964216173303106,6.783081999994955e-08,0.0012573052026417185,6,1
99,189684654,0.8357515057560448,6.383976999871048e-08,0.0011569282078991775,9,1
100,189684656,0.3997156656099609,7.859168000000192e-08,0.0014641054927659928,5,1
101,189684658,0.3909042683703205,8.33597400032476e-08,0.0015225349882714671,5,1
102,189684660,0.7411320119601299,4.0633090000669036e-08,0.0009183299426528019,8,1
103,189684662,0.6290671717406919,6.333883999985813e-08,0.0015225723437538074,13,1
104,189684664,0.7412216872795236,4.062390500067004e-08,0.0009181778894842877,8,1
105,189684666,0.6814098347630808,3.1135319999979946e-08,0.0007733999999999241,5,1
106,189684668,0.8357675102573613,6.384124000123882e-08,0.0011568260666369881,9,1
107,189684670,0.7627533361974751,3.628361000027765e-08,0.0008085096614730272,5,1
108,189684672,0.6303234136070508,6.352168000195867e-08,0.001522399134713537,14,1
109,189684674,0.6414852085666689,5.2777259999391526e-08,0.0010250592889359698,5,1
110,189684676,0.5345460552699195,7.808923500090063e-08,0.001509001831861191,9,1
111,189684678,0.7393081858054614,5.380839000184637e-08,0.0009932316520540232,5,1
112,189684680,0.629027405404796,6.333860999967654e-08,0.001522601554970624,13,1
113,189684682,0.4757866435250672,6.568966500044094e-08,0.001257105610378674,5,1
114,189684684,0.6401991815160176,2.9256090000551696e-08,0.0007636505679590256,5,1
115,189684686,0.8356249329823858,6.382906000041911e-08,0.0011568258164624016,9,1
116,189684688,0.7417877416843381,4.080475999953312e-08,0.0009184976422277164,9,1
117,189684690,0.3755261008199879,9.637125999747274e-08,0.0016571577735591337,5,1
118,189684692,0.47597957914861,6.570743999942497e-08,0.0012571041219254211,5,1
119,189684694,0.475786643537968,6.568966500222262e-08,0.0012571056103859678,5,1
120,189684696,0.6291277506184741,6.334454000182848e-08,0.0015225807061826047,13,1
121,189684698,0.8357515057642328,6.38397700003646e-08,0.0011569282079192812,9,1
122,193352222,0.3609118303569226,6.259479000001491e-08,0.0013515542903743667,5,1
123,193393224,0.3788313644804393,5.721736500128889e-08,0.0012695502083884525,5,1
124,196184178,0.2596884324638298,6.824785000016312e-08,0.0015980237714521527,5,1
125,196184180,0.2596884324677121,6.824785000127689e-08,0.0015980237714308724,5,1
126,196184182,0.19002320661201988,8.312498999837241e-08,0.002001710863435245,5,1
127,196184184,0.2596884324934787,6.824784999949733e-08,0.001598023771438059,5,1
128,196184186,0.21304769831353554,9.518628999681998e-08,0.0020432004886201264,5,1
129,196184188,0.19623978372037693,8.061158999989412e-08,0.0019450010286983066,5,1
130,196184190,0.17813982732116554,8.877612000253521e-08,0.0021254047531336444,5,1
131,196184192,0.4188248512308854,4.0942380000116334e-08,0.0010365014208162991,5,1
132,196184196,0.1900331354853432,8.312027999865207e-08,0.002001610371579835,5,1
133,196184198,0.2111440724257493,9.737106500092073e-08,0.0020741187493813207,5,1
134,196184200,0.19003313546000652,8.312027999865207e-08,0.002001610371579834,5,1
135,196184202,0.4187804304215039,4.094727499982574e-08,0.0010366016776452392,5,1
136,196184204,0.190023206608917,8.312498999837241e-08,0.002001710863435245,5,1
137,196184206,0.17823742212822827,8.882548000245322e-08,0.0021255010410883334,5,1
138,196184208,0.1900331354961184,8.31202799992816e-08,0.0020016103715939835,5,1
139,196184210,0.30059850378762865,5.178295500013432e-08,0.0013154054649018967,5,1
140,196184212,0.19012510584935755,8.317043999957253e-08,0.0020018105595935166,5,1
141,196184214,0.18138197580282914,8.545602000194863e-08,0.002069512442538017,5,1
142,196184216,0.27015744006663506,5.79168749992939e-08,0.0014495150291691699,5,1
143,196184218,0.4186313270048966,4.092131999986996e-08,0.0010364012666324847,5,1
144,196184220,0.19013504574275164,8.316572999918284e-08,0.0020017100682286283,5,1
145,196184224,0.19003375517436685,8.312056000316343e-08,0.0020016113562859174,5,1
146,196184226,0.21116875571744328,9.486574499909811e-08,0.0020471649503366962,5,1
147,196184228,0.30041748431249377,5.1759260001537686e-08,0.0013154052116064268,5,1
148,196184230,0.3004174842953601,5.1759259999527214e-08,0.0013154052115993038,5,1
149,196184232,0.25970687565636114,6.824316500155497e-08,0.001597924544262379,5,1
150,196184234,0.4186312400818514,4.0921339999870426e-08,0.001036401575420717,5,1
151,196184236,0.4188248514589445,4.0942379999420714e-08,0.001036501420802059,5,1
152,198568502,0.3478503751731896,5.433847999916052e-08,0.00127597232450106,5,1
153,200023074,0.3793949120559993,1.3922346499986868e-07,0.001971159809741814,6,1
154,200023122,0.39484049398162097,1.5879451999883368e-07,0.002050619719263486,7,1
155,200174786,0.5617470703100695,8.354859000206558e-08,0.0013436448020405598,5,1
156,212759174,0.7622223311592451,5.613445500062693e-08,0.0010728195998139837,7,1
157,212759188,0.3603177081604473,7.155817000147891e-08,0.0014475020466436545,5,1
158,212759196,0.3416807618230016,7.557347500137353e-08,0.0015148461312309359,5,1
159,212759206,0.3726026826396151,7.474652499864914e-08,0.0014609603294292435,5,1
160,212759214,0.4337492881874584,6.346633999850236e-08,0.0012772629561059162,5,1
161,212759236,0.4007222385583105,7.114554500160669e-08,0.0013898727813355322,5,1
162,212759248,0.7431548674652263,5.716839999893727e-08,0.0010983580689446783,7,1
163,225101210,0.3660380282896632,4.848452999959711e-08,0.0011831440339646606,5,1
164,231401330,0.8407417945334791,8.922129500068232e-08,0.0013789142390199449,10,1
165,231715186,0.9607280972021024,6.772339635038753e-06,0.010060576393895827,20,-1
166,233342484,0.2894563513750961,9.288863999554695e-08,0.0017884117742164656,5,1
167,233342514,0.462695106524574,5.790148999929137e-08,0.00119255485739865,5,1
168,233588494,0.3149085318153455,8.825228499985131e-08,0.0016884914635203801,5,1
169,233588502,0.3448253469846464,1.0387823500185912e-07,0.0017707858904164539,5,1
170,233588648,0.194366035747087,1.5999017999776493e-07,0.0027540265556558717,5,1
171,233588836,0.4256195407689589,2.1990797500121346e-07,0.002826212837855285,9,-1
172,233588846,0.6889082780298583,6.492338500106366e-08,0.0011163474811867935,5,1
173,233588862,0.29841034441709635,7.96293600009838e-08,0.001637039967457344,5,1
174,233588864,0.19173573995336068,1.647626150017651e-07,0.0028106866955180253,5,1
175,233588878,0.22046003378476894,1.2862843999837662e-07,0.0023443157359898767,5,1
176,233588884,0.7929525193978278,5.657636000041362e-08,0.0009995975316594837,5,1
177,233588898,0.4872973509754869,7.534214499957603e-08,0.0013356276618550946,5,1
178,233588946,0.5838603648507867,8.238410000011898e-08,0.0013650165578990214,10,1
179,233588962,0.41884386068609497,9.804277999969717e-08,0.0016302348408956534,11,1
180,233588998,0.7311713080846701,4.9886949999051706e-08,0.0009604009370267887,5,1
181,233789726,0.23597831492937946,1.0618147000079567e-07,0.0020726536591892364,5,1
182,233819344,0.2215874094341019,9.671802499903014e-08,0.0020271028931775487,5,1
183,233819402,0.2747290190304429,6.699797000025415e-08,0.0015491703681759935,5,1
184,235229286,0.6093201355308872,5.354045999284974e-08,0.0010497588589179507,5,1
185,235229296,0.6623000266710262,5.990300000404207e-08,0.0010829931750774378,5,1
186,235229302,0.5462252552679989,2.6353305000170428e-08,0.0007621207337600301,5,1
187,235229310,0.7045181784737891,2.0850929999548677e-08,0.0006274447416378484,5,1
188,235229312,0.17761894036114284,8.275793499698779e-08,0.002055961095885247,5,1
189,235229320,0.2836337943178325,9.948804999779677e-08,0.0018778860672457208,7,1
190,235229330,0.2992527926811039,5.036938499948865e-08,0.0013005108480448526,5,1
191,235229336,0.3470968409884062,7.832323500036318e-08,0.0015331159536352394,5,1
192,235229338,0.6691191265048652,3.9565559998088905e-08,0.0008775760418641423,5,1
193,235229348,0.781918459766085,3.457601999858797e-08,0.0007849364972934756,5,1
