,id,compactness,area,length,n_nodes
0,335349738,0.9487251484257859,1.1297654999703872e-08,0.0004262730876852414,5
1,351553862,0.7368633106969895,2.991134499982239e-08,0.000743135663761902,5
2,487396702,0.9262565596187631,2.35246000004306e-08,0.0006183970851478871,5
3,489085780,0.8898610460139732,1.675451000058085e-08,0.0005287569546981806,5
4,495958884,0.9447261182868455,1.1060420001473142e-08,0.00042200290038424507,5
5,501827394,0.868447023140292,2.4853250000795726e-08,0.0006481680698608988,5
6,506943036,0.502709303632274,4.8309750000949187e-08,0.0010586537484286273,5
7,506943218,0.9490807301001006,1.807533500097234e-08,0.0005386608254168792,5
8,506951786,0.70351661114538,9.26584999981219e-09,0.00042000370408743973,5
9,506951788,0.7193436354817874,1.0607555000226643e-08,0.0004458122623359251,5
10,506951790,0.822343877542988,1.3057199999434567e-08,0.00047742343221750613,5
11,506951792,0.9102140948234035,2.186409499939021e-08,0.0006042712809889071,5
12,508021784,0.9283895507958391,3.021007500005101e-08,0.0007002644445214735,5
13,508021786,0.8026701718245882,1.687270999977012e-08,0.0005437085170288739,5
14,508021788,0.787092867000673,1.5385839999212152e-08,0.0005219577158509111,5
15,508180860,0.9538902161665881,1.2538725001479918e-08,0.00044803455729196533,5
16,508898568,0.8148677360023782,1.5696154999556648e-08,0.0005222901163099596,5
17,510355978,0.8279639031329834,8.184120000404909e-09,0.0003754861002762313,5
18,510356376,0.9315799911985485,1.0295925001027012e-08,0.00040846814921084143,5
19,510356392,0.951961822536262,1.3155404999482388e-08,0.0004593424558153385,5
20,510356564,0.949499459593294,4.2314999999563664e-08,0.0008239999999943848,5
21,510356568,0.49910166653671706,1.7605190001258557e-08,0.0006406006526893752,5
22,510356598,0.8064216325576313,1.1226140000008784e-08,0.00044291329386233515,5
23,510359196,0.8540622110041507,4.460950500036847e-08,0.0008694764602761079,5
24,510359244,0.9059359277993498,1.1553510000214362e-08,0.00043572450827490347,5
25,510359338,0.7411722886392729,1.1027860000464873e-08,0.00044933360629294256,5
26,510359342,0.8672660401550639,1.4264780000498577e-08,0.000489876673666743,5
27,510359350,0.9498838639537154,1.5290485001008723e-08,0.0004953157716020805,5
28,511769892,0.9197209060274676,1.1397017499824468e-07,0.0014651729316795285,9
29,511917008,0.9417203034654106,8.915175000047092e-09,0.00038030666633058626,5
30,511917010,0.8905611957134741,7.815505000880964e-09,0.00036304577928787175,5
31,514072296,0.9519381682241863,1.9437589999397958e-08,0.0005584430510494117,5
